GlobalIT Supplies Inc. — RFx Response (RFX-2024-ITH-001)
Date: 23 November 2024 | Currency: USD
============================================================

SRV-001 | Rack Server 2U | 10 unit | $3600/unit
SRV-002 | Rack Server 1U | 5 unit | $2300/unit
SRV-003 | Blade Server Chassis | 2 unit | $10500/unit
SRV-004 | Blade Server Module | 8 unit | $1100/unit
LPT-001 | Business Laptop (High-End) | 50 unit | $1050/unit
LPT-002 | Business Laptop (Standard) | 100 unit | $680/unit
DSK-001 | Desktop PC (Office) | 50 unit | $520/unit
TNC-001 | Thin Client | 30 unit | $290/unit
NSW-001 | Network Switch 24P L2 (PoE+) | 10 unit | $220/unit
NSW-002 | Network Switch 48P L2 (PoE+) | 5 unit | $430/unit
NSW-003 | Network Switch 24P L3 | 3 unit | $820/unit
RTR-001 | Core Router | 2 unit | $1600/unit
FWL-001 | Enterprise Firewall (NGFW) | 2 unit | $3800/unit
WAP-001 | Wireless Access Point (Wi-Fi 6) | 40 unit | $155/unit
WLC-001 | Wireless LAN Controller | 2 unit | $1000/unit
UPS-001 | UPS 1 kVA | 20 unit | $175/unit
UPS-002 | UPS 3 kVA | 5 unit | $510/unit
PDU-001 | Rack PDU (Metered) | 10 unit | $110/unit
KVM-001 | IP KVM Switch (8-Port) | 5 unit | $158/unit
SFP-001 | SFP+ Module 10GbE SR | 20 unit | $46/unit
CAB-001 | CAT6 Cable (305m box) | 15 box | $88/unit
PAT-001 | Fiber Patch Panel 24-Port | 8 unit | $72/unit
NAS-001 | NAS Storage (4-Bay) | 3 unit | $1120/unit
SSD-001 | Enterprise SSD 1TB | 50 unit | $230/unit
RAM-001 | RAM Module 32GB DDR5 ECC | 100 unit | $148/unit
MON-001 | Monitor 27" 4K UHD | 60 unit | $420/unit
RAK-001 | Server Rack Cabinet 42U | 5 unit | $355/unit

NOTE (Pg 3 footnote): 12% volume discount applies to all items when total > USD 50,000.
LPT-002 is scheduled EOL in Q2 2026.
